,MR3,MR1,MR2,MR4,MR5
Q1,0.43,0.22,0.04,-0.1,0.06
Q2,0.03,0.7,0.02,-0.03,-0.05
Q5,0.63,0.02,-0.05,0.02,0.06
Q7,0.16,0.56,-0.02,0.01,0.07
Q10,-0.64,0.07,-0.04,0.02,0.07
Q12,0.11,0.42,0.08,0.12,0.02
Q13,-0.06,0.08,0.01,0.56,-0.07
Q17,0.6,0.03,0.03,0.11,0.01
Q18,0.11,-0.05,0.07,0.01,0.48
Q19,0.02,0.01,0.53,-0.11,0.14
Q20,-0.62,-0.09,-0.01,0.04,0.11
Q21,0,0.01,0.9,-0.02,-0.03
Q22,0.06,0.47,0.06,0.07,0.04
Q23,-0.05,0.79,-0.01,0.01,0.02
Q24,0.08,-0.01,0.02,0.6,0.07
Q25,-0.01,-0.01,0.84,0.05,0
Q26,0.67,-0.05,0.01,0.02,0.09
Q27,-0.06,0.41,0.03,0.18,0.15
Q28,0.43,0.19,-0.03,0,0.09
Q30,-0.05,0.09,0.01,0.01,0.56
