,Q1,Q2,Q5,Q7,Q10,Q12,Q13,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q30
Q1,0.66,0.05,0.08,-0.04,0.05,0.01,-0.02,-0.03,0,0.01,0.03,0,0,0,0.03,0,0.02,-0.03,0,-0.02
Q2,0.05,0.53,0.01,-0.03,-0.02,0.01,0.04,-0.01,0.02,-0.01,0,0.02,-0.04,0.04,-0.02,-0.02,0.01,0,-0.05,0
Q5,0.08,0.01,0.57,-0.04,0.03,0,0.02,0,-0.01,-0.02,0,-0.01,0.05,0,-0.01,0.02,0.03,-0.04,-0.06,0.02
Q7,-0.04,-0.03,-0.04,0.53,-0.02,0.03,-0.02,0.01,-0.04,0,-0.01,0,0.01,-0.02,-0.01,0,0.01,0.04,0.04,0.02
Q10,0.05,-0.02,0.03,-0.02,0.63,0.02,-0.01,-0.1,0,-0.01,0.03,0.01,0.06,-0.02,0.02,0,0.03,0,0.02,-0.02
Q12,0.01,0.01,0,0.03,0.02,0.67,0.01,0.02,0.02,0,0,-0.01,-0.03,-0.04,-0.02,0.01,0,0.04,-0.02,-0.02
Q13,-0.02,0.04,0.02,-0.02,-0.01,0.01,0.67,-0.01,0,0.01,-0.01,0.02,-0.01,-0.01,0,-0.03,0,0,-0.04,0.01
Q17,-0.03,-0.01,0,0.01,-0.1,0.02,-0.01,0.57,0,0.01,0.04,0.01,0.01,0.01,0.01,-0.02,-0.06,-0.02,0.02,0.01
Q18,0,0.02,-0.01,-0.04,0,0.02,0,0,0.73,0,-0.02,0.01,-0.03,0.01,-0.01,-0.02,0.01,0.03,-0.03,0.01
Q19,0.01,-0.01,-0.02,0,-0.01,0,0.01,0.01,0,0.67,-0.01,0,0.03,-0.01,0,0,-0.03,-0.02,0,0.01
Q20,0.03,0,0,-0.01,0.03,0,-0.01,0.04,-0.02,-0.01,0.59,0,0,-0.01,0.01,0,-0.01,0,-0.02,0.01
Q21,0,0.02,-0.01,0,0.01,-0.01,0.02,0.01,0.01,0,0,0.21,-0.01,-0.01,-0.02,0,0,0,0.01,0
Q22,0,-0.04,0.05,0.01,0.06,-0.03,-0.01,0.01,-0.03,0.03,0,-0.01,0.68,0.04,0.01,0.01,-0.01,-0.03,0.03,0
Q23,0,0.04,0,-0.02,-0.02,-0.04,-0.01,0.01,0.01,-0.01,-0.01,-0.01,0.04,0.4,0.03,0.01,-0.02,-0.04,-0.03,0.02
Q24,0.03,-0.02,-0.01,-0.01,0.02,-0.02,0,0.01,-0.01,0,0.01,-0.02,0.01,0.03,0.59,0.02,0,-0.01,0.01,0
Q25,0,-0.02,0.02,0,0,0.01,-0.03,-0.02,-0.02,0,0,0,0.01,0.01,0.02,0.28,0.02,0.01,-0.01,0
Q26,0.02,0.01,0.03,0.01,0.03,0,0,-0.06,0.01,-0.03,-0.01,0,-0.01,-0.02,0,0.02,0.54,0,0.04,-0.02
Q27,-0.03,0,-0.04,0.04,0,0.04,0,-0.02,0.03,-0.02,0,0,-0.03,-0.04,-0.01,0.01,0,0.67,0.08,-0.02
Q28,0,-0.05,-0.06,0.04,0.02,-0.02,-0.04,0.02,-0.03,0,-0.02,0.01,0.03,-0.03,0.01,-0.01,0.04,0.08,0.67,-0.02
Q30,-0.02,0,0.02,0.02,-0.02,-0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.02,0,0,-0.02,-0.02,-0.02,0.64
