"","MR3","MR1","MR2","MR4","MR5","MR6"
"Q1",0.5,0.29,0.1,-0.01,0.14,-0.14
"Q2",0.22,0.64,0.09,0.09,0.05,0
"Q5",0.64,0.14,0.01,0.1,0.16,-0.15
"Q7",0.31,0.57,0.06,0.07,0.14,0.17
"Q9",0.58,0.44,0.05,0.11,-0.09,0
"Q10",-0.61,-0.04,-0.05,0.03,0.05,-0.19
"Q11",0.22,0.35,0.18,0.2,0.17,0.35
"Q12",0.23,0.46,0.13,0.18,0.11,0.16
"Q13",-0.02,0.17,0.02,0.6,-0.02,0.06
"Q16",0.05,0.17,0.17,0.15,0.15,0.28
"Q17",0.59,0.16,0.07,0.12,0.1,0.29
"Q18",0.14,0.09,0.15,0.05,0.47,0.05
"Q19",0.06,0.09,0.53,-0.05,0.18,0.06
"Q20",-0.6,-0.17,-0.04,0,0.03,-0.07
"Q21",0.07,0.13,0.87,0.07,0.06,0.09
"Q22",0.19,0.49,0.13,0.15,0.13,0
"Q23",0.16,0.73,0.08,0.13,0.12,0.01
"Q24",0.1,0.17,0.06,0.53,0.14,0.05
"Q25",0.05,0.12,0.83,0.13,0.09,0.02
"Q26",0.65,0.11,0.06,0.06,0.16,-0.05
"Q27",0.07,0.45,0.1,0.22,0.21,0.19
"Q28",0.47,0.29,0.03,0.02,0.14,0.15
"Q30",0.03,0.21,0.11,0.06,0.52,0.06
